game_uid,pair,starter,winner,end_reason,plies_total,opening,time_p1,time_p2,moves_p1,moves_p2,branch_sum_p1,branch_sum_p2,forced_p1,forced_p2,missed_win_p1,missed_win_p2,gave_opp_win_p1,gave_opp_win_p2
AlphaBeta++__vs__Génétique (éval AB)__seed8080005__Astart,,A,A,victory,9,"1,1,CIRCLE | 2,2,DIAMOND | 0,2,SQUARE | 3,0,TRIANGLE",3.350332,10.591465,5,4,189,131,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed8080006__Bstart,,B,A,victory,10,"1,2,TRIANGLE | 2,1,CIRCLE | 2,0,DIAMOND | 3,3,SQUARE",2.718860,6.065842,5,5,149,189,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed9090005__Astart,,A,A,victory,7,"1,1,CIRCLE | 2,1,DIAMOND | 3,0,SQUARE | 0,3,TRIANGLE",3.726071,9.266434,4,3,177,121,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed9090006__Bstart,,B,B,victory,9,"2,1,DIAMOND | 1,2,CIRCLE | 3,3,TRIANGLE | 1,1,TRIANGLE",2.706699,5.454853,4,5,131,187,0,0,0,0,1,0
AlphaBeta++__vs__Génétique (éval AB)__seed1120005__Astart,,A,B,victory,14,"1,1,CIRCLE | 2,1,SQUARE | 0,3,SQUARE | 3,3,CIRCLE",3.948674,11.175428,7,7,193,160,1,1,0,0,1,0
AlphaBeta++__vs__Génétique (éval AB)__seed1120006__Bstart,,B,A,victory,10,"3,1,CIRCLE | 1,2,CIRCLE | 2,2,SQUARE | 0,1,SQUARE",2.837330,6.986656,5,5,153,186,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed2130005__Astart,,A,B,victory,10,"1,1,CIRCLE | 1,2,DIAMOND | 0,3,SQUARE | 0,0,TRIANGLE",3.823009,9.460831,5,5,175,139,0,0,0,0,1,0
AlphaBeta++__vs__Génétique (éval AB)__seed2130006__Bstart,,B,B,victory,9,"3,3,TRIANGLE | 1,1,CIRCLE | 2,0,CIRCLE | 3,1,SQUARE",2.637699,5.637942,4,5,136,202,0,0,0,0,1,0
AlphaBeta++__vs__Génétique (éval AB)__seed3140005__Astart,,A,A,victory,7,"1,1,CIRCLE | 1,2,TRIANGLE | 0,3,SQUARE | 3,0,DIAMOND",3.787022,9.930277,4,3,177,121,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed3140006__Bstart,,B,B,victory,11,"1,1,TRIANGLE | 2,2,CIRCLE | 2,0,SQUARE | 3,2,DIAMOND",2.740339,6.666556,5,6,151,185,0,0,0,0,1,0
