game_uid,pair,starter,winner,end_reason,plies_total,opening,time_p1,time_p2,moves_p1,moves_p2,branch_sum_p1,branch_sum_p2,forced_p1,forced_p2,missed_win_p1,missed_win_p2,gave_opp_win_p1,gave_opp_win_p2
AlphaBeta++__vs__Génétique+__seed4040004__Bstart,,B,B,victory,13,"2,1,SQUARE | 1,2,CIRCLE | 1,0,DIAMOND | 0,3,SQUARE",2.940127,6.496997,6,7,136,202,0,0,0,0,1,0
AlphaBeta++__vs__Génétique+__seed5050003__Astart,,A,A,victory,9,"1,1,CIRCLE | 2,2,TRIANGLE | 0,2,SQUARE | 2,0,TRIANGLE",4.021015,4.672250,5,4,187,120,0,0,0,0,0,1
AlphaBeta++__vs__Génétique+__seed5050004__Bstart,,B,A,victory,8,"1,0,DIAMOND | 2,1,CIRCLE | 0,3,SQUARE | 3,3,DIAMOND",2.788743,4.603348,4,4,137,164,0,0,0,0,0,1
AlphaBeta++__vs__Génétique+__seed6060003__Astart,,A,A,victory,11,"1,1,CIRCLE | 2,2,TRIANGLE | 0,2,SQUARE | 3,1,DIAMOND",3.921172,4.969022,6,5,185,139,0,0,0,0,0,1
AlphaBeta++__vs__Génétique+__seed6060004__Bstart,,B,A,victory,10,"0,3,CIRCLE | 2,1,SQUARE | 2,2,DIAMOND | 0,1,TRIANGLE",3.237968,5.608000,5,5,151,182,0,0,0,0,0,1
AlphaBeta++__vs__Génétique+__seed7070003__Astart,,A,A,victory,9,"1,1,CIRCLE | 2,0,TRIANGLE | 2,2,SQUARE | 1,3,DIAMOND",3.943289,4.464720,5,4,189,137,0,0,0,0,0,1
AlphaBeta++__vs__Génétique+__seed7070004__Bstart,,B,A,victory,12,"2,1,CIRCLE | 1,2,CIRCLE | 3,3,SQUARE | 0,0,SQUARE",2.944252,6.050686,6,6,153,192,0,0,0,0,0,1
AlphaBeta++__vs__Génétique+__seed8080003__Astart,,A,A,victory,7,"1,1,CIRCLE | 2,1,DIAMOND | 3,0,SQUARE | 1,2,DIAMOND",3.635702,3.419254,4,3,179,111,0,0,0,0,0,1
AlphaBeta++__vs__Génétique+__seed8080004__Bstart,,B,A,victory,10,"1,1,SQUARE | 2,2,CIRCLE | 1,2,DIAMOND | 2,3,TRIANGLE",2.698665,5.557676,5,5,150,173,0,0,0,0,0,1
AlphaBeta++__vs__Génétique+__seed9090003__Astart,,A,A,no_move,11,"1,1,CIRCLE | 0,3,DIAMOND | 0,2,SQUARE | 1,0,TRIANGLE",3.879375,4.675974,6,5,169,145,1,0,0,0,0,0
AlphaBeta++__vs__Génétique+__seed9090004__Bstart,,B,A,victory,8,"2,2,TRIANGLE | 1,1,CIRCLE | 3,0,SQUARE | 0,3,TRIANGLE",3.054349,4.722055,4,4,142,162,0,0,0,0,0,1
