game_uid,pair,starter,winner,end_reason,plies_total,opening,time_p1,time_p2,moves_p1,moves_p2,branch_sum_p1,branch_sum_p2,forced_p1,forced_p2,missed_win_p1,missed_win_p2,gave_opp_win_p1,gave_opp_win_p2
Génétique (éval AB)__vs__Génétique (éval AB)+__seed5050006__Bstart,,B,B,victory,7,"1,0,DIAMOND | 2,1,DIAMOND | 2,2,CIRCLE | 1,1,CIRCLE",8.704944,2.466609,3,4,117,179,0,0,0,0,1,0
Génétique (éval AB)__vs__Génétique (éval AB)+__seed6060005__Astart,,A,A,victory,9,"0,2,SQUARE | 3,0,TRIANGLE | 1,1,DIAMOND | 2,2,CIRCLE",5.473998,3.739636,5,4,186,139,0,0,0,0,0,1
Génétique (éval AB)__vs__Génétique (éval AB)+__seed6060006__Bstart,,B,B,victory,9,"0,3,TRIANGLE | 2,1,DIAMOND | 1,1,CIRCLE | 3,2,SQUARE",8.868878,2.709751,4,5,132,193,0,0,0,0,1,0
Génétique (éval AB)__vs__Génétique (éval AB)+__seed7070005__Astart,,A,A,victory,7,"1,1,SQUARE | 2,2,TRIANGLE | 3,0,TRIANGLE | 1,3,CIRCLE",7.441322,2.564397,4,3,174,119,0,0,0,0,0,1
Génétique (éval AB)__vs__Génétique (éval AB)+__seed7070006__Bstart,,B,B,victory,9,"3,1,TRIANGLE | 2,2,TRIANGLE | 1,2,SQUARE | 0,0,SQUARE",8.473961,2.641247,4,5,136,188,0,0,0,0,1,0
Génétique (éval AB)__vs__Génétique (éval AB)+__seed8080005__Astart,,A,A,victory,7,"3,1,CIRCLE | 2,1,TRIANGLE | 2,2,SQUARE | 1,2,CIRCLE",4.314566,2.648657,4,3,179,122,0,0,0,0,0,1
Génétique (éval AB)__vs__Génétique (éval AB)+__seed8080006__Bstart,,B,B,victory,9,"1,2,TRIANGLE | 1,1,DIAMOND | 3,3,SQUARE | 3,0,TRIANGLE",8.581926,2.666650,4,5,140,192,0,0,0,0,1,0
Génétique (éval AB)__vs__Génétique (éval AB)+__seed9090005__Astart,,A,A,victory,9,"0,3,CIRCLE | 1,1,TRIANGLE | 2,2,SQUARE | 3,2,CIRCLE",6.210490,3.077175,5,4,187,137,0,0,0,0,0,1
Génétique (éval AB)__vs__Génétique (éval AB)+__seed9090006__Bstart,,B,A,victory,10,"2,1,DIAMOND | 1,1,CIRCLE | 1,2,SQUARE | 0,0,TRIANGLE",8.950222,2.865090,5,5,146,200,0,0,0,0,0,1
Génétique (éval AB)__vs__Génétique (éval AB)+__seed1120005__Astart,,A,A,victory,7,"0,1,TRIANGLE | 2,2,CIRCLE | 1,2,SQUARE | 1,1,DIAMOND",6.008988,2.640088,4,3,178,121,0,0,0,0,0,1
Génétique (éval AB)__vs__Génétique (éval AB)+__seed1120006__Bstart,,B,B,victory,7,"3,1,CIRCLE | 2,2,SQUARE | 1,2,DIAMOND | 1,3,TRIANGLE",8.262995,2.592730,3,4,119,174,0,0,0,0,1,0
Génétique (éval AB)__vs__Génétique (éval AB)+__seed2130005__Astart,,A,B,victory,8,"1,3,TRIANGLE | 2,3,CIRCLE | 2,2,SQUARE | 1,2,DIAMOND",5.955802,3.809666,4,4,176,139,0,0,0,0,1,0
Génétique (éval AB)__vs__Génétique (éval AB)+__seed2130006__Bstart,,B,B,victory,9,"3,3,TRIANGLE | 1,1,SQUARE | 1,2,DIAMOND | 3,0,DIAMOND",7.953584,2.616867,4,5,140,191,0,0,0,0,1,0
Génétique (éval AB)__vs__Génétique (éval AB)+__seed3140005__Astart,,A,A,victory,7,"1,0,TRIANGLE | 1,1,SQUARE | 2,2,DIAMOND | 3,0,DIAMOND",4.805666,2.708644,4,3,179,120,0,0,0,0,0,1
Génétique (éval AB)__vs__Génétique (éval AB)+__seed3140006__Bstart,,B,B,victory,7,"1,1,TRIANGLE | 2,1,DIAMOND | 3,0,SQUARE | 0,2,CIRCLE",7.437067,2.594293,3,4,121,176,0,0,0,0,1,0
Génétique (éval AB)__vs__Génétique (éval AB)+__seed4150005__Astart,,A,A,victory,7,"2,3,SQUARE | 1,1,CIRCLE | 1,2,DIAMOND | 3,2,TRIANGLE",6.399315,2.647205,4,3,178,121,0,0,0,0,0,1
Génétique (éval AB)__vs__Génétique (éval AB)+__seed4150006__Bstart,,B,B,victory,7,"0,3,TRIANGLE | 2,1,CIRCLE | 1,1,SQUARE | 3,2,SQUARE",8.529187,2.465925,3,4,121,174,0,0,0,0,1,0
Génétique (éval AB)__vs__Génétique (éval AB)+__seed5160005__Astart,,A,B,victory,12,"2,3,TRIANGLE | 1,2,TRIANGLE | 2,2,CIRCLE | 3,1,SQUARE",6.248807,3.641477,6,6,186,164,0,0,0,0,1,0
Génétique (éval AB)__vs__Génétique (éval AB)+__seed5160006__Bstart,,B,B,victory,7,"2,3,SQUARE | 1,1,CIRCLE | 1,2,TRIANGLE | 0,2,SQUARE",10.088763,2.465986,3,4,119,175,0,0,0,0,1,0
Génétique (éval AB)__vs__Génétique (éval AB)+__seed6170005__Astart,,A,B,victory,8,"2,1,TRIANGLE | 2,2,SQUARE | 1,2,DIAMOND | 0,3,CIRCLE",5.828464,3.773982,4,4,176,145,0,0,0,0,1,0
Génétique (éval AB)__vs__Génétique (éval AB)+__seed6170006__Bstart,,B,B,victory,9,"2,3,CIRCLE | 1,1,CIRCLE | 3,0,TRIANGLE | 2,2,TRIANGLE",10.260314,2.758415,4,5,137,190,0,0,0,0,1,0
Génétique (éval AB)__vs__Génétique (éval AB)+__seed7180005__Astart,,A,A,victory,7,"3,1,DIAMOND | 1,1,SQUARE | 2,2,CIRCLE | 0,3,TRIANGLE",5.003747,3.374610,4,3,175,118,0,0,0,0,0,1
Génétique (éval AB)__vs__Génétique (éval AB)+__seed7180006__Bstart,,B,B,victory,7,"3,3,TRIANGLE | 1,1,SQUARE | 1,2,DIAMOND | 2,0,DIAMOND",8.415040,2.604269,3,4,121,174,0,0,0,0,1,0
Génétique (éval AB)__vs__Génétique (éval AB)+__seed8190005__Astart,,A,A,victory,11,"3,3,DIAMOND | 1,1,CIRCLE | 1,2,TRIANGLE | 3,0,SQUARE",6.391816,3.530469,6,5,207,140,0,0,0,0,0,1
Génétique (éval AB)__vs__Génétique (éval AB)+__seed8190006__Bstart,,B,B,victory,9,"1,2,TRIANGLE | 2,1,TRIANGLE | 0,0,DIAMOND | 3,3,CIRCLE",10.241366,2.565900,4,5,127,185,0,0,0,0,1,0
